Letter   Absolute  Relative  Entropie
               22     0.206      0.47
,               3     0.028     0.144
O               3     0.028     0.144
R               3     0.028     0.144
a               4     0.037     0.176
b               2     0.019     0.109
d               4     0.037     0.176
e              10     0.093     0.319
f               1     0.009     0.061
g               4     0.037     0.176
h               5     0.047     0.207
i               7     0.065     0.256
k               1     0.009     0.061
l               5     0.047     0.207
m               4     0.037     0.176
n              12     0.112     0.354
o               3     0.028     0.144
r               3     0.028     0.144
s               2     0.019     0.109
t               8     0.075      0.28
u               1     0.009     0.061
